"Doctor","Medical Condition","Hospital"
"Aaron Harper","Hypertension","Lindsey-Matthews"
"Aaron Harris","Obesity","Parker-Stewart"
"Aaron Harrison","Arthritis","Wright Group"
"Aaron Hernandez","Obesity","Taylor-Nelson"
"Aaron Hernandez","Arthritis","Ruiz-Rivera"
"Aaron Herrera","Diabetes","Collins Stout and King,"
"Aaron Herrera","Cancer","Smith, and Thomas Johnson"
"Aaron Higgins","Asthma","King Ltd"
"Aaron Hill","Hypertension","Lee Collier, and Browning"
"Aaron Hill","Obesity","Burke Group"
"Aaron Hudson","Arthritis","Jackson Collins Thomas, and"
"Aaron Hunter","Asthma","Lara and Parker, Dunn"
"Aaron Jacobs","Cancer","Hernandez-Prince"
"Aaron Johnson","Obesity","Patton and Mclaughlin, Barr"
"Aaron Johnson","Diabetes","Aguilar Adams, and Morrison"
"Aaron Johnston","Asthma","Hill-Hill"
"Aaron Jones","Hypertension","Roberts Ortiz Johnson, and"
"Aaron Jones","Asthma","Group Vang"
"Aaron Jones","Arthritis","LLC Thompson"
"Aaron Kim","Arthritis","Carter, Roberson Coleman and"
"Aaron Kim","Hypertension","and Sons Ferguson"
"Aaron King","Obesity","Group Anderson"
"Aaron King","Arthritis","and Vazquez Arias Chan,"
"Aaron Lee","Obesity","Potts-Walker"
"Aaron Li","Obesity","Johnson-Gonzalez"
"Aaron Lopez","Hypertension","Miller and Bullock Leonard,"
"Aaron Manning","Diabetes","and English Sanders, Wilcox"
"Aaron Martin","Arthritis","Hansen-Oliver"
"Aaron Martin","Hypertension","Raymond Ltd"
"Aaron Martin MD","Hypertension","Hansen Diaz Cox, and"
"Aaron Martinez","Obesity","Lewis LLC"
"Aaron Martinez","Cancer","and Davenport Riley, Edwards"
"Aaron Maxwell","Diabetes","Group Fisher"
"Aaron Mcdonald","Arthritis","Hurst-Sanchez"
"Aaron Mcdowell","Arthritis","Schwartz PLC"
"Aaron Mcmillan","Obesity","Hoffman-Allen"
"Aaron Mendoza","Arthritis","Allen-Austin"
"Aaron Meyers","Hypertension","Larson-Fitzgerald"
"Aaron Miller","Arthritis","Berg-Cooper"
"Aaron Miller","Obesity","Wallace and Owens, Warner"
"Aaron Mitchell","Asthma","Richards-Lucas"
"Aaron Moody","Diabetes","PLC Frazier"
"Aaron Moore","Obesity","Hall LLC"
"Aaron Moreno","Asthma","Townsend and Brown Kennedy,"
"Aaron Morgan","Diabetes","King-Brown"
"Aaron Morrow","Asthma","Nelson-Hall"
"Aaron Murphy","Obesity","Curtis-Hurley"
"Aaron Murray","Obesity","Jones Martin, Blackburn and"
"Aaron Myers","Cancer","Henderson LLC"
"Aaron Neal","Hypertension","Melton PLC"
"Aaron Nguyen","Hypertension","Smith-Oliver"
"Aaron Pace","Diabetes","Clark-Rivers"
"Aaron Park","Arthritis","Rodriguez Barnes, and Ballard"
"Aaron Paul","Diabetes","LLC Peters"
"Aaron Perez","Hypertension","Rodriguez-Goodman"
"Aaron Perez","Obesity","PLC Smith"
"Aaron Perez","Asthma","and Dougherty Sweeney White,"
"Aaron Perry","Arthritis","Snyder-Quinn"
"Aaron Pham","Cancer","Middleton Group"
"Aaron Pierce","Diabetes","Ltd Cochran"
"Aaron Price","Hypertension","Ltd Knight"
"Aaron Ramirez","Obesity","Nelson LLC"
"Aaron Rivera","Diabetes","Montgomery-Martin"
"Aaron Roberts","Hypertension","Johnson, Gordon Walls and"
"Aaron Robertson","Hypertension","Williams Cherry Lopez, and"
"Aaron Rodriguez","Obesity","Ltd Alexander"
"Aaron Rogers","Arthritis","Mcmillan-Gonzales"
"Aaron Ross","Arthritis","and Bowman, Brown White"
"Aaron Russo","Obesity","Perez-Morgan"
"Aaron Ryan","Asthma","Hamilton-Dudley"
"Aaron Sanchez","Cancer","Roberts Sons and"
"Aaron Schmidt","Obesity","Brooks-Marks"
"Aaron Smith","Asthma","Booker-Ayala"
"Aaron Smith","Cancer","Wheeler-Krause"
"Aaron Snyder","Diabetes","Pope-Miles"
"Aaron Solis","Obesity","Ltd Olson"
"Aaron Spencer","Obesity","Hayes-Gibson"
"Aaron Stanley","Obesity","Maldonado Stein, Knapp and"
"Aaron Swanson","Hypertension","Inc Patterson"
"Aaron Taylor","Diabetes","Ray-Lopez"
"Aaron Thomas","Hypertension","and James, Browning Mooney"
"Aaron Thompson","Cancer","Burton PLC"
"Aaron Turner","Cancer","Johnson PLC"
"Aaron Turner","Cancer","Fuller and Sons"
"Aaron Vasquez","Asthma","Glass-Jones"
"Aaron Walker","Cancer","Sons Lam and"
"Aaron Walker","Hypertension","Rose Ltd"
"Aaron Washington","Obesity","Short LLC"
"Aaron Watkins","Obesity","Carey-Adams"
"Aaron Watson","Asthma","Perry-Dunlap"
"Aaron Webb","Arthritis","Mason-Carroll"
"Aaron White","Arthritis","Scott-Hall"
"Aaron White","Obesity","Flores-Mckay"
"Aaron White","Cancer","Trujillo-Hickman"
"Aaron Wiggins","Diabetes","Sons and Brooks"
"Aaron Williams","Hypertension","Wong-Ho"
"Aaron Williams","Obesity","Ltd Cohen"
"Aaron Wong","Diabetes","Owens PLC"
"Aaron Wood","Hypertension","Knight PLC"
"Aaron Wright","Hypertension","Bruce Park Pham, and"
"Aaron Yang","Arthritis","Brown Mccall, and Brandt"
"Abigail Aguirre","Hypertension","Wheeler Allen, Chavez and"
"Abigail Alvarado","Diabetes","Bryant-Hanna"
"Abigail Armstrong","Obesity","Prince and Allen, Brady"
"Abigail Beck","Cancer","and Deleon Moore Powers,"
"Abigail Brown","Hypertension","Inc Perry"
"Abigail Bryan","Asthma","Chase, and Lane Griffin"
"Abigail Chen","Asthma","Miles-Lee"
"Abigail Erickson MD","Cancer","Clark Inc"
"Abigail Ewing","Obesity","Ltd Harrison"
"Abigail Flores","Arthritis","and Sons Bonilla"
"Abigail Fowler","Hypertension","Davis Inc"
"Abigail Fox","Hypertension","Yu, Frazier Smith and"
"Abigail Garcia","Cancer","Holder-Watson"
"Abigail Garza","Diabetes","Smith-Doyle"
"Abigail Gentry","Cancer","Jones-Griffin"
"Abigail Hardy","Diabetes","and Ford Horton, Gregory"
"Abigail Holder","Arthritis","Morris-Carr"
"Abigail Johnson","Arthritis","Steele, Randolph and Lutz"
"Abigail Jones","Asthma","Group Gutierrez"
"Abigail Kelly","Asthma","Price LLC"
"Abigail King","Asthma","Mills, Johnson Wilson and"
"Abigail Lee","Asthma","LLC Mckay"
"Abigail Lopez","Cancer","Kerr-Young"
"Abigail Mack","Diabetes","Bailey-Jones"
"Abigail Martin","Hypertension","Atkinson-Brady"
"Abigail Mathis","Diabetes","and Howard Carter, Hart"
"Abigail Mccoy","Arthritis","Group Hudson"
"Abigail Nelson","Diabetes","and Thompson Sons"
"Abigail Nelson","Diabetes","Reed-Burgess"
"Abigail Newman","Asthma","Henderson Inc"
"Abigail Newton","Obesity","Watson Baker and Bailey,"
"Abigail Noble","Arthritis","Group Graves"
"Abigail Owen","Asthma","Johnson-Rojas"
"Abigail Pearson","Diabetes","Wood-Harper"
"Abigail Perez","Arthritis","and Sims Martin Grant,"
"Abigail Roberson","Cancer","Russell-Richard"
"Abigail Ross","Hypertension","Ray-Alvarez"
"Abigail Russell","Diabetes","Dunlap Young and Wilson,"
"Abigail Salas","Arthritis","Jones-Patel"
"Abigail Solomon","Cancer","Burton-Chambers"
"Abigail Valentine","Obesity","Powers, and Reynolds Romero"
"Abigail Vargas","Diabetes","Weaver-Kelley"
"Abigail Walker PhD","Diabetes","Robinson-Washington"
"Abigail Warren","Asthma","Harmon-Carroll"
"Abigail Washington","Asthma","and Vargas Hall, Chapman"
"Abigail White","Asthma","and Burgess Bell, Walker"
"Abigail Williams","Hypertension","Martin, and Robinson Graham"
"Abigail Williams","Asthma","Brown Ltd"
"Abigail Williams","Arthritis","Mendez-Montoya"
"Abigail Wilson","Obesity","and Aguilar Carney, Cohen"
"Abigail Wright","Asthma","Mclean-Levy"
"Abigail Wright","Cancer","Jackson-Williams"
"Adam Alexander","Arthritis","Collins Small, and Crawford"
"Adam Anderson","Hypertension","Butler-Powell"
"Adam Atkins DDS","Hypertension","and Stevens Nichols, Gardner"
"Adam Avila","Cancer","PLC Mills"
"Adam Bailey","Cancer","and Joseph Thomas, Luna"
"Adam Baker","Arthritis","PLC Rogers"
"Adam Baker","Obesity","Robinson Inc"
"Adam Becker","Asthma","Ltd Anderson"
"Adam Bell","Asthma","Salas Arnold and Harding,"
"Adam Bentley","Hypertension","Cummings-Johnson"
"Adam Booth","Diabetes","Ray, Gross and Mccoy"
"Adam Bowers","Arthritis","Galloway-Barnett"
"Adam Bradley","Diabetes","Frye Inc"
"Adam Bradley","Arthritis","Anderson Group"
"Adam Bradley","Diabetes","LLC Johnson"
"Adam Bradshaw","Cancer","Berry LLC"
"Adam Brady","Obesity","Solomon, Smith and Kaiser"
"Adam Brown","Cancer","Dawson-Wheeler"
"Adam Bryant","Arthritis","Barnett and Berger Rangel,"
"Adam Buckley","Asthma","and Dickerson Terry Sandoval,"
"Adam Burns","Obesity","Ltd Wilson"
"Adam Campbell","Hypertension","and Harrell, Sanford Barrett"
"Adam Carpenter","Diabetes","Johnson-Wood"
"Adam Carr","Obesity","and Sons Wood"
"Adam Chapman","Arthritis","Thomas and Baker Smith,"
"Adam Christian","Hypertension","LLC Dean"
"Adam Clark","Cancer","Owens-Wilson"
"Adam Coleman","Hypertension","Turner Group"
"Adam Collins","Asthma","LLC Hahn"
"Adam Cooper","Diabetes","Wall-Scott"
"Adam Crawford","Obesity","Powell, and Khan Olson"
"Adam Curry","Obesity","Walsh-Jones"
"Adam Dawson","Hypertension","Gutierrez, and Powers Chapman"
"Adam Downs","Diabetes","and Smith Johnson, Clayton"
"Adam Duarte","Hypertension","Group Peters"
"Adam Espinoza","Asthma","Vasquez-Brown"
"Adam Farrell","Asthma","Inc Nelson"
"Adam Fitzgerald","Hypertension","Wong-Woods"
"Adam Flores","Hypertension","Black Inc"
"Adam Foster","Cancer","and Sons Wright"
"Adam Fox","Diabetes","Mathis, Gentry Turner and"
"Adam Frazier","Arthritis","and Hobbs Jensen Johnson,"
"Adam Freeman","Asthma","Montgomery-Smith"
"Adam Gallagher","Diabetes","Skinner-Lee"
"Adam Garza","Arthritis","Murray-Irwin"
"Adam Gates","Diabetes","Ltd Thompson"
"Adam Gentry","Diabetes","Daniels Inc"
"Adam Gonzalez","Cancer","PLC Pierce"
"Adam Gray","Hypertension","Sims-Castro"
"Adam Gray","Obesity","and Rios, Stout Moran"
"Adam Green","Diabetes","Rodriguez Inc"
"Adam Griffin","Hypertension","Sims LLC"
"Adam Grimes","Arthritis","King Austin, and Erickson"
"Adam Hall","Hypertension","Ward and Casey, Fuller"
"Adam Hardy","Diabetes","Sheppard-Livingston"
"Adam Harper","Arthritis","and Mendoza Clarke Tucker,"
"Adam Harrell","Asthma","Mcintosh-Smith"
"Adam Harris","Asthma","Hunt-Foster"
"Adam Hayes","Asthma","Ltd Nelson"
"Adam Hayes","Asthma","Robinson LLC"
"Adam Henry","Asthma","and Brown, Clark Hernandez"
"Adam Higgins","Asthma","Howard-Holloway"
"Adam Horne","Hypertension","Gutierrez-Turner"
"Adam Jackson","Asthma","Carrillo-Jones"
"Adam Jackson","Hypertension","Williams-Bowers"
"Adam Jackson","Diabetes","Nguyen, and Harris James"
"Adam Johnson","Hypertension","Inc Colon"
"Adam Jones","Arthritis","Sparks LLC"
"Adam Jones","Asthma","Buckley Reed, and Owen"
"Adam Juarez","Diabetes","Phelps Group"
"Adam Kaufman","Cancer","and Kim Tucker Hayes,"
"Adam Keller","Asthma","Byrd-Scott"
"Adam Keller","Asthma","Smith Ltd"
"Adam Kelley","Arthritis","Price-Nolan"
"Adam Kelly","Asthma","Watson-Lopez"
"Adam King","Asthma","Taylor-Whitaker"
"Adam Knox","Diabetes","Scott-Jensen"
"Adam Kramer","Diabetes","Mcdonald-Roberson"
"Adam Krueger DDS","Arthritis","Strong-Hill"
"Adam Lam","Asthma","Richards Lopez, and Vasquez"
"Adam Landry","Hypertension","Perry Inc"
"Adam Lane","Diabetes","White LLC"
"Adam Lewis","Asthma","and Rush, Moore Murillo"
"Adam Little","Cancer","Woods Shaw, Arnold and"
"Adam Lopez","Diabetes","Johnson-Wise"
"Adam Lucas","Asthma","Haas Ltd"
"Adam Marsh","Arthritis","Richards LLC"
"Adam Marshall","Cancer","Jones Ltd"
"Adam Martinez","Arthritis","Baldwin Ltd"
"Adam Mason","Hypertension","Bernard-Flores"
"Adam May","Hypertension","LLC Cole"
"Adam May","Arthritis","and Robinson Santos Lewis,"
"Adam Mccoy","Hypertension","Holt and Sons"
"Adam Mckinney","Hypertension","and Owens Sons"
"Adam Medina","Hypertension","LLC Davis"
"Adam Meyer","Asthma","Group Bush"
"Adam Miller","Cancer","Simmons-Bailey"
"Adam Miller","Hypertension","Ball Sons and"
"Adam Miller","Obesity","Armstrong-Cooper"
"Adam Mitchell","Obesity","Long Ltd"
"Adam Moyer","Obesity","and Diaz Phillips Kim,"
"Adam Nelson","Obesity","and Salinas, Li Hayden"
"Adam Ochoa","Hypertension","Nguyen-Sims"
"Adam Page","Cancer","Rodriguez Inc"
"Adam Parker","Arthritis","Harris-Melendez"
"Adam Parsons","Asthma","Ltd Hernandez"
"Adam Patel","Diabetes","Davis, Vazquez Cox and"
"Adam Payne","Obesity","Silva-Patel"
"Adam Pearson","Diabetes","Clark Holder, Perry and"
"Adam Perez","Cancer","Sandoval Cook and Gutierrez,"
"Adam Peterson","Cancer","Proctor-Gibson"
"Adam Pierce","Diabetes","Krueger-Bennett"
"Adam Pineda","Asthma","Smith, Jones Parsons and"
"Adam Pitts","Cancer","Richardson Jones, and Scott"
"Adam Pitts","Diabetes","Ayers-Smith"
"Adam Price","Cancer","Ingram-Benson"
"Adam Ray","Hypertension","Bell Wallace, and Perkins"
"Adam Raymond","Arthritis","and Robbins, Baker Smith"
"Adam Reed","Obesity","LLC Hernandez"
"Adam Reeves","Arthritis","and Leach Bradley Wade,"
"Adam Rice","Arthritis","Carr-Gutierrez"
"Adam Richard","Diabetes","Burch-Hernandez"
"Adam Richardson","Obesity","Hart and Winters, Giles"
"Adam Richardson","Arthritis","Snyder-Gutierrez"
"Adam Rivers","Arthritis","Porter Ltd"
"Adam Roberts","Cancer","Elliott Jones Hinton, and"
"Adam Robertson","Hypertension","Jenkins-Watts"
"Adam Robles","Obesity","Cook-Stevens"
"Adam Rodgers","Arthritis","and Fernandez Fisher, Owen"
"Adam Rodriguez","Diabetes","Harris Aguilar and Ochoa,"
"Adam Rodriguez","Asthma","Lee, Hendrix Ashley and"
"Adam Ross","Obesity","Stokes Chambers and Martin,"
"Adam Sanders","Arthritis","Bowman-Jimenez"
"Adam Santiago","Cancer","Inc Gonzales"
"Adam Schneider","Hypertension","Cobb and Roy, Bennett"
"Adam Shannon","Arthritis","and Rodriguez Hernandez, Gibson"
"Adam Shaw","Diabetes","Inc Rojas"
"Adam Sims","Obesity","Woods-Gibson"
"Adam Singh","Asthma","Fields and West Brown,"
"Adam Smith","Cancer","Smith-Williams"
"Adam Smith","Asthma","Brown-Dixon"
"Adam Smith","Obesity","Cannon PLC"
"Adam Smith","Diabetes","and Green Miller Love,"
"Adam Smith","Diabetes","Lewis Rogers Sandoval, and"
"Adam Smith","Hypertension","and Taylor Murillo Estrada,"
"Adam Snyder","Asthma","and Garcia Ferguson, Davis"
"Adam Sparks","Cancer","Franklin-Brown"
"Adam Stewart","Cancer","Johnson Owens and Mcgee,"
"Adam Thomas","Obesity","Inc Brown"
"Adam Thompson","Obesity","Inc Clark"
"Adam Thompson","Arthritis","Kennedy-Henry"
"Adam Torres","Cancer","Hernandez-Pearson"
"Adam Torres","Obesity","Fitzgerald Group"
"Adam Torres DDS","Cancer","and Rodriguez Anderson, Kennedy"
"Adam Turner","Arthritis","Lambert LLC"
"Adam Vega","Asthma","Brooks-Wells"
"Adam Velazquez MD","Obesity","Anderson PLC"
"Adam Velez","Cancer","Walter-Holmes"
"Adam Walker","Asthma","Robinson Marshall Henry, and"
"Adam Walker","Asthma","LLC Randolph"
"Adam Waller","Hypertension","Baldwin Skinner and Berger,"
"Adam Walsh","Diabetes","Miller-Thomas"
"Adam Walton","Asthma","and Winters Sawyer, Williams"
"Adam Watson","Asthma","Figueroa-Johnson"
"Adam Watson","Arthritis","Welch Group"
"Adam West","Arthritis","LLC Ortiz"
"Adam White","Cancer","Ltd Garner"
"Adam Whitehead","Arthritis","Parker-Coleman"
"Adam Williams","Asthma","Valentine Group"
"Adam Williams","Hypertension","Greer-Scott"
"Adam Williamson","Asthma","Pacheco, Whitaker Rodriguez and"
"Adam Wilson","Arthritis","Lambert-Lane"
"Adam Wilson","Hypertension","Quinn-Romero"
"Adam Woodard","Asthma","and Wright Sons"
"Adam Wright","Cancer","Inc Ruiz"
"Adam Wyatt","Obesity","Atkinson LLC"
"Adam Young","Arthritis","Simpson-Knox"
"Adrian Allen","Arthritis","Tate PLC"
"Adrian Allen","Asthma","Williams, Gomez and Rogers"
"Adrian Bates","Obesity","Massey and Brown Wang,"
"Adrian Booth","Obesity","Richardson-Wallace"
"Adrian Brown","Obesity","and Hudson Le, Carter"
"Adrian Brown","Obesity","Peters-Rosario"
"Adrian Butler","Cancer","Burnett PLC"
"Adrian Cox","Cancer","Thomas-Diaz"
"Adrian Davis","Arthritis","Duncan Sanchez, Campbell and"
"Adrian Davis","Diabetes","Curry-Mendoza"
"Adrian Davis","Diabetes","and Garrett Sons"
"Adrian Dickson","Diabetes","Inc Williamson"
"Adrian Ford","Hypertension","and Perez Rodriguez, Potts"
"Adrian Franco","Hypertension","Group Williams"
"Adrian Galvan","Obesity","Richard-Garcia"
"Adrian Gamble","Diabetes","and Olson Moore Simpson,"
"Adrian Garcia DDS","Arthritis","Palmer-Smith"
"Adrian Gonzalez","Asthma","Wallace-Johnson"
"Adrian Henderson","Obesity","Jones-Duffy"
"Adrian Herrera","Obesity","Smith-Alexander"
"Adrian Jacobs PhD","Hypertension","and Pittman Thomas, Stein"
"Adrian Joseph","Obesity","Zavala-Sanchez"
"Adrian Lopez","Diabetes","Collins Nelson Beck, and"
"Adrian Mills","Obesity","and Williams, Kim Burch"
"Adrian Nelson","Obesity","Hutchinson LLC"
"Adrian Nicholson","Asthma","Meyer Atkins, Lewis and"
"Adrian Oconnell","Asthma","Williams-Riley"
"Adrian Olsen","Cancer","Miller-White"
"Adrian Powell","Cancer","Lutz, Lester and Kelly"
"Adrian Ray","Hypertension","Smith, Johnson Wade and"
"Adrian Richards","Obesity","Jones-Gray"
"Adrian Richmond","Hypertension","Travis-Williams"
"Adrian Ruiz","Asthma","and Ford, Juarez Campbell"
"Adrian Shannon","Hypertension","Marshall-Lewis"
"Adrian Smith","Asthma","King and Lee, Hester"
"Adrian Smith","Obesity","Newman and Maddox, Jones"
"Adrian Swanson","Hypertension","and Gonzalez Smith, Arnold"
"Adrian Tran","Arthritis","Perry-Andrews"
"Adrian Vaughn","Hypertension","Lopez Ingram, and Barber"
"Adrian Warren","Cancer","Lopez, and Wells Farrell"
"Adrian Zamora","Arthritis","Shea-Davis"
"Adriana Alvarez","Hypertension","Scott-Randall"
"Adriana Alvarez","Cancer","Ruiz Allen, and Shepherd"
"Adriana Boyle","Diabetes","Young-White"
"Adriana Bryant","Arthritis","Guzman-Norton"
"Adriana Colon","Hypertension","Wood Group"
"Adriana Duncan","Obesity","Montgomery and Baldwin, Martinez"
"Adriana Evans","Obesity","Inc Johnson"
"Adriana Francis","Hypertension","Payne-Davis"
"Adriana Gates","Cancer","Ltd Grimes"
"Adriana Gould","Hypertension","Barber-Page"
"Adriana Morrow","Diabetes","Johnson Group"
"Adriana Patton","Arthritis","Vargas Inc"
"Adriana Sullivan","Asthma","Schneider Burton, Conrad and"
"Adrienne Barry","Hypertension","Lucas-Henry"
"Adrienne Barry","Cancer","Wood, Lynch Smith and"
"Adrienne Evans","Obesity","and Matthews, Wright Lambert"
"Adrienne Gibson","Diabetes","Palmer-Gonzalez"
"Adrienne Howard","Hypertension","and Wright, Long Schroeder"
"Adrienne Jones","Asthma","PLC Klein"
"Adrienne Kelley","Asthma","Everett, and Obrien Reeves"
"Adrienne Knight","Hypertension","Fuller-Allen"
"Adrienne Lopez","Cancer","Walker-Barnett"
"Adrienne Matthews","Obesity","Hurst, Thompson and Walls"
"Adrienne Miles","Obesity","Dyer-Schultz"
"Adrienne Oneill","Hypertension","Miller Group"
"Adrienne Reed","Arthritis","and Ramirez Chan Oliver,"
"Adrienne Rodriguez","Hypertension","Hale Garner, Schultz and"
"Adrienne Santiago","Arthritis","Ortiz-Henderson"
"Adrienne Schroeder","Obesity","Lewis Brown and Williams,"
"Adrienne Stevens","Diabetes","Cruz-Smith"
"Adrienne Taylor","Obesity","Stewart Lindsey and Myers,"
"Adrienne Terrell","Cancer","Sons Clark and"
"Aimee Garcia","Diabetes","Cummings PLC"
"Aimee Johnson","Cancer","Group Velazquez"
"Aimee Maxwell","Arthritis","Jarvis Inc"
"Aimee Mclean","Arthritis","Nguyen Vasquez Perkins, and"
"Aimee Ramirez","Asthma","and Snyder Arnold, Sims"
"Aimee Reilly","Diabetes","Bright-Taylor"
"Aimee Rosario","Arthritis","West Wong, Moore and"
"Aimee Russell","Cancer","Walters-Walker"
"Aimee Russell","Asthma","Gonzalez-Buckley"
"Aimee Sosa","Hypertension","King Greer, and Gonzalez"
"Aimee Taylor","Obesity","Perez-Small"
"Aimee Terry","Hypertension","Rogers and Meza Callahan,"
"Aimee Terry","Obesity","Washington-Mathis"
"Aimee Turner","Hypertension","Brady PLC"
"Alan Anderson","Cancer","Group Hernandez"
"Alan Austin","Asthma","Santos-Sparks"
"Alan Baker","Obesity","Kelly-Jones"
"Alan Baldwin","Arthritis","Ross-Martinez"
"Alan Barnes","Hypertension","Jones Watson Hall, and"
"Alan Beasley","Arthritis","Jones-Tyler"
"Alan Benson","Asthma","Taylor Ltd"
"Alan Bradley","Asthma","Day-Rodriguez"
"Alan Butler","Hypertension","Young-Lewis"
"Alan Cain","Diabetes","Phillips Jones and Wu,"
"Alan Choi","Obesity","Davis PLC"
"Alan Church","Arthritis","Willis Irwin and Rogers,"
"Alan Collins","Asthma","PLC Goodman"
"Alan Compton","Asthma","and West Rodriguez Parks,"
"Alan Evans","Asthma","Charles Mathews and Powell,"
"Alan Fernandez","Diabetes","Smith PLC"
"Alan Fletcher","Diabetes","Huffman-Flowers"
"Alan Friedman","Diabetes","Hernandez LLC"
"Alan Fuller","Diabetes","Garcia-House"
"Alan Gilbert","Asthma","and Lee Cobb, Haynes"
"Alan Hart","Hypertension","and Woodard Martin Silva,"
"Alan Hart","Cancer","Walters PLC"
"Alan Hendrix","Diabetes","Green-Castillo"
"Alan Hernandez","Asthma","Williams Wilson, and Cox"
"Alan Jones","Diabetes","Pratt Ltd"
"Alan Kline","Obesity","Herrera-Hernandez"
"Alan Little","Hypertension","Rodriguez, Campbell and Moore"
"Alan Long","Diabetes","Adams West and Poole,"
"Alan Martinez","Obesity","Martin Taylor Johnson, and"
"Alan Mcfarland","Diabetes","Sharp Mcintosh, Rivera and"
"Alan Michael","Hypertension","Scott-Clark"
"Alan Miller","Asthma","Martinez-Long"
"Alan Moore","Arthritis","Potter LLC"
"Alan Morgan","Hypertension","Wang Ltd"
"Alan Morris","Diabetes","Group Hill"
"Alan Morris","Cancer","Rose-Williams"
"Alan Murphy","Cancer","and Keith Sons"
"Alan Murphy","Arthritis","Martinez, Cooper and Taylor"
"Alan Owens","Asthma","and Martinez Sons"
"Alan Pena","Arthritis","and White Smith, Carroll"
"Alan Preston","Hypertension","Ortiz Inc"
"Alan Ritter","Obesity","Williams, Stewart Dickerson and"
"Alan Robinson","Obesity","Fernandez and Sons"
"Alan Rubio","Cancer","Henry-Bradford"
"Alan Russo","Cancer","LLC Andrews"
"Alan Savage","Hypertension","Bailey Perry and Hill,"
"Alan Scott","Cancer","Ramirez, Ferguson Chambers and"
"Alan Swanson","Obesity","Ward Ltd"
"Alan Wade","Arthritis","Salas-Harris"
"Alan Williams","Asthma","Young, Davis and Farrell"
"Albert Brooks","Obesity","Jackson-Page"
"Albert Carlson","Cancer","Scott Sons and"
"Albert Coleman","Arthritis","Hayden-Casey"
"Albert Franco","Asthma","Reeves Ltd"
"Albert Gibson","Hypertension","and Fleming, Powell Bryant"
"Albert Goodwin","Diabetes","Zhang, Wilson Beck and"
"Albert Gordon","Obesity","and Adams Cole, Payne"
"Albert Hall","Hypertension","Underwood-Richmond"
"Albert Johnson","Hypertension","and Scott Sons"
"Albert Johnston","Cancer","Washington-Espinoza"
"Albert Knapp","Cancer","Lee LLC"
"Albert Lowe","Obesity","Ward Boyd and Kim,"
"Albert Mendez","Diabetes","Patterson PLC"
"Albert Moore","Cancer","Mcgee-Hernandez"
"Albert Owen","Hypertension","Cook-Smith"
"Albert Powell","Asthma","Fernandez Christensen, and Rivera"
"Albert Rice","Obesity","Sawyer-Marshall"
